0.000000,0.000000,good,0.363979
17.445101,78.358638,good,0.317726
17.445153,78.358640,good,0.313786
17.445201,78.358637,good,0.359417
17.445242,78.358633,good,0.456917
17.445283,78.358626,unsatisfactory,0.517929
17.445332,78.358630,unsatisfactory,0.675432
17.445374,78.358629,unsatisfactory,0.816980
17.445418,78.358630,unsatisfactory,0.915944
17.445470,78.358626,unsatisfactory,1.092588
17.445525,78.358627,good,1.159931
17.445582,78.358619,good,1.010568
17.445629,78.358619,good,0.998559
17.445676,78.358616,good,0.987646
17.445725,78.358623,unsatisfactory,1.093174
17.445773,78.358630,unsatisfactory,1.018183
17.445817,78.358628,unsatisfactory,1.074758
17.445858,78.358635,unsatisfactory,1.338521
17.445899,78.358644,unsatisfactory,1.377329
17.445943,78.358649,good,1.318824
17.445977,78.358647,poor,1.146463
17.446013,78.358649,good,0.667821
17.446047,78.358646,satisfactory,0.962216
17.446077,78.358648,poor,1.411517
17.446113,78.358643,unsatisfactory,1.378633
17.446147,78.358643,unsatisfactory,0.972342
17.446180,78.358642,satisfactory,0.966081
17.446219,78.358642,satisfactory,0.961961
17.446252,78.358640,poor,1.081317
17.446289,78.358639,poor,1.107971
17.446329,78.358635,good,0.991334
17.446371,78.358629,unsatisfactory,0.920517
17.446407,78.358632,good,0.785289
17.446441,78.358615,good,0.705242
17.446477,78.358612,good,0.603110
17.446518,78.358605,good,0.434213
17.446563,78.358598,good,0.294115
17.446612,78.358591,good,0.269284
17.446655,78.358585,unsatisfactory,0.193742
17.446697,78.358583,good,0.833154
17.446736,78.358583,poor,1.312140
17.446784,78.358582,unsatisfactory,0.977326
17.446843,78.358582,good,0.356908
17.446904,78.358580,good,0.259702
17.446964,78.358584,good,0.121370
17.447023,78.358583,good,0.113566
17.447082,78.358580,good,0.145454
17.447141,78.358583,good,0.266061
17.447199,78.358581,good,0.359357
17.447226,78.358551,good,0.320303
17.447276,78.358556,good,0.373466
17.447326,78.358560,good,0.365362
17.447372,78.358563,unsatisfactory,0.464631
17.447417,78.358564,unsatisfactory,0.668597
17.447471,78.358567,unsatisfactory,0.804191
17.447520,78.358568,unsatisfactory,0.960592
17.447567,78.358566,unsatisfactory,0.867886
17.447620,78.358569,good,0.497086
17.447672,78.358571,good,0.263328
17.447723,78.358577,good,0.290508
17.447769,78.358577,unsatisfactory,0.995504
17.447813,78.358577,unsatisfactory,1.679183
17.447860,78.358573,unsatisfactory,1.668145
17.447906,78.358578,unsatisfactory,0.622281
17.447950,78.358578,unsatisfactory,0.747600
17.447986,78.358572,satisfactory,0.730984
17.448010,78.358571,good,0.542300
17.448017,78.358579,good,0.340730
17.448048,78.358573,good,0.335602
17.448072,78.358571,good,0.997631
17.448100,78.358574,unsatisfactory,1.199873
17.448127,78.358576,satisfactory,0.833521
17.448153,78.358579,unsatisfactory,0.815426
17.448181,78.358586,poor,1.441464
17.448199,78.358593,poor,1.621306
17.448211,78.358608,poor,1.079623
17.448218,78.358631,good,0.556868
17.448220,78.358652,good,0.718220
17.448219,78.358674,good,0.606567
17.448219,78.358696,good,0.214785
17.448220,78.358730,good,0.220452
17.448224,78.358783,good,0.378623
17.448231,78.358841,good,0.391020
17.448232,78.358890,unsatisfactory,0.905983
17.448230,78.358930,poor,0.871870
17.448231,78.358960,good,0.128372
17.448240,78.358984,satisfactory,0.823352
17.448266,78.359000,good,1.382316
17.448296,78.359006,unsatisfactory,1.235159
17.448312,78.359014,good,0.573642
